Price,Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
1848000.0,Strathmore,4 Collegian Av,3,h,S,McDonald,26/08/2017,8.2,3041.0,3.0,1.0,3.0,824.0,189.0,1935.0,,-37.737970000000004,144.92455,Western Metropolitan,3284.0
322500.0,Seddon,5/4 Edward St,1,u,S,Village,17/06/2017,5.1,3011.0,1.0,1.0,1.0,0.0,,,Maribyrnong,-37.80504000000001,144.88685,Western Metropolitan,2417.0
1015000.0,Preston,3 Evelyn St,3,h,S,Ray,13/05/2017,8.8,3072.0,3.0,2.0,1.0,511.0,,,Darebin,-37.7377,144.9911,Northern Metropolitan,14577.0
590000.0,Sunshine,146 Cornwall Rd,3,h,S,Douglas,16/07/2016,12.6,3020.0,3.0,1.0,1.0,438.0,,,Brimbank,-37.7804,144.8425,Western Metropolitan,3755.0
712000.0,Richmond,302/366 Church St,2,u,S,Jellis,26/07/2016,2.6,3121.0,2.0,1.0,1.0,0.0,,2012.0,Yarra,-37.823,144.9982,Northern Metropolitan,14949.0
1210000.0,Coburg,60 Glengyle St,3,h,S,Nelson,10/09/2016,7.8,3058.0,3.0,1.0,1.0,379.0,125.0,1925.0,Moreland,-37.7544,144.9764,Northern Metropolitan,11204.0
1015000.0,East Melbourne,6/45 Gipps St,1,u,S,Caine,8/10/2016,1.5,3002.0,1.0,1.0,1.0,0.0,,,Melbourne,-37.8136,144.9892,Northern Metropolitan,3040.0
1490000.0,Kew,6 Wellington St,3,h,S,Nelson,4/03/2017,5.6,3101.0,3.0,2.0,2.0,597.0,,1970.0,Boroondara,-37.8093,145.0299,Southern Metropolitan,10331.0
1270000.0,Essendon,5 Loeman St,4,h,PI,Nelson,28/08/2016,8.0,3040.0,3.0,2.0,2.0,411.0,266.0,1996.0,Moonee Valley,-37.757,144.9251,Western Metropolitan,9264.0
1120000.0,Coburg,2 Walsh St,3,h,S,Raine,22/08/2016,7.8,3058.0,3.0,2.0,1.0,293.0,180.0,2006.0,Moreland,-37.7481,144.9663,Northern Metropolitan,11204.0
270000.0,Reservoir,1/31 Kenilworth St,1,u,PI,Stockdale,24/06/2017,12.0,3073.0,1.0,1.0,1.0,0.0,60.0,1980.0,Darebin,-37.714079999999996,145.00441,Northern Metropolitan,21650.0
965000.0,Glen Iris,1/16 Osborne Av,2,t,S,hockingstuart,16/09/2017,7.3,3146.0,2.0,2.0,1.0,704.0,,,,-37.85698,145.04686,Southern Metropolitan,10412.0
2300000.0,Prahran,135 Williams Rd,4,h,VB,RT,17/06/2017,4.6,3181.0,4.0,2.0,2.0,291.0,263.5,1890.0,Stonnington,-37.84961,145.00248,Southern Metropolitan,7717.0
900000.0,Elsternwick,78a Allison Rd,2,h,VB,Gary,15/10/2016,8.5,3185.0,2.0,1.0,1.0,198.0,,,Glen Eira,-37.8824,145.0133,Southern Metropolitan,4898.0
2950000.0,Canterbury,18 Irilbarra Rd,4,h,S,Marshall,3/09/2016,9.0,3126.0,4.0,2.0,2.0,687.0,215.0,1935.0,Boroondara,-37.8186,145.0706,Southern Metropolitan,3265.0
528000.0,Kensington,2/75 McCracken St,2,u,S,Nelson,22/04/2017,4.2,3031.0,2.0,1.0,1.0,0.0,,1975.0,Melbourne,-37.7928,144.9279,Northern Metropolitan,5263.0
760000.0,Thomastown,8 Barbara Ct,4,h,PI,hockingstuart,12/08/2017,15.3,3074.0,4.0,1.0,2.0,695.0,,,Whittlesea,-37.67877,145.03656,Northern Metropolitan,7955.0
425500.0,Ascot Vale,2/25 Harold St,2,u,S,Brad,15/07/2017,4.3,3032.0,2.0,1.0,1.0,1727.0,82.0,1960.0,Moonee Valley,-37.77341,144.9013,Western Metropolitan,6567.0
1442000.0,Richmond,2 Sutton Gr,2,h,S,Biggin,1/07/2017,2.4,3121.0,2.0,2.0,1.0,163.0,,,Yarra,-37.82259000000001,144.99077,Northern Metropolitan,14949.0
630000.0,St Albans,1 Harris St,3,h,S,Ray,17/06/2017,14.0,3021.0,3.0,1.0,2.0,524.0,,,Brimbank,-37.75098,144.80331,Western Metropolitan,14042.0
1400000.0,Vermont South,3 Reynella Cl,4,h,PI,Jellis,24/06/2017,17.2,3133.0,4.0,3.0,2.0,882.0,,,Whitehorse,-37.85484,145.1989,Eastern Metropolitan,4280.0
1250000.0,Coburg,7 Gladstone St,4,h,S,Jellis,10/12/2016,7.8,3058.0,4.0,1.0,2.0,613.0,,,Moreland,-37.7433,144.9762,Northern Metropolitan,11204.0
880000.0,Sunshine,8 Station Pl,3,h,S,Bells,19/11/2016,12.6,3020.0,3.0,1.0,3.0,463.0,107.0,1925.0,Brimbank,-37.7905,144.8359,Western Metropolitan,3755.0
532000.0,Heidelberg West,59 Alamein Rd,3,h,S,Miles,7/11/2016,9.4,3081.0,3.0,1.0,1.0,390.0,86.0,1955.0,Banyule,-37.7369,145.0422,Eastern Metropolitan,2674.0
335000.0,Hawthorn,16/557 Glenferrie Rd,1,u,VB,Jellis,10/09/2016,4.6,3122.0,1.0,1.0,1.0,3132.0,,,Boroondara,-37.8276,145.0342,Southern Metropolitan,11308.0
1170000.0,Alphington,77A Fulham Rd,3,h,S,Jellis,9/09/2017,5.7,3078.0,3.0,1.0,1.0,268.0,126.0,1994.0,,-37.7753,145.0267,Northern Metropolitan,2211.0
425000.0,Roxburgh Park,12 Simmonds Pl,3,h,S,Ray,3/06/2017,20.6,3064.0,3.0,2.0,2.0,255.0,141.0,1996.0,Hume,-37.63382,144.92774,Northern Metropolitan,5833.0
1320000.0,Hawthorn East,11 Council St,3,h,VB,Jellis,18/06/2016,7.5,3123.0,3.0,2.0,1.0,213.0,162.0,1890.0,Boroondara,-37.8302,145.0542,Southern Metropolitan,6482.0
1358500.0,Templestowe Lower,64 MacEdon Rd,4,h,S,Barry,28/08/2016,13.8,3107.0,4.0,2.0,2.0,742.0,,,Manningham,-37.7701,145.1131,Eastern Metropolitan,5420.0
1710000.0,Kensington,11 Nottingham St,5,h,PI,Nelson,10/09/2016,4.2,3031.0,5.0,2.0,2.0,566.0,270.0,1890.0,Melbourne,-37.7893,144.933,Northern Metropolitan,5263.0
1802000.0,Glen Iris,59 Staughton Rd,4,h,S,J,28/05/2016,9.2,3146.0,4.0,3.0,2.0,394.0,,1980.0,Boroondara,-37.8523,145.0603,Southern Metropolitan,10412.0
743000.0,Heidelberg Heights,4 Milton Ct,3,h,S,Barry,10/12/2016,10.5,3081.0,3.0,1.0,0.0,673.0,,1950.0,Banyule,-37.7428,145.0494,Eastern Metropolitan,2947.0
1385000.0,Moorabbin,5 Florida Ct,4,h,S,Gary,14/05/2016,14.6,3189.0,4.0,2.0,2.0,807.0,,,Kingston,-37.9431,145.0407,Southern Metropolitan,2555.0
305000.0,Carnegie,3/9 Poplar Gr,1,u,S,Woodards,8/04/2017,11.4,3163.0,1.0,1.0,1.0,0.0,46.0,1960.0,Glen Eira,-37.8858,145.0632,Southern Metropolitan,7822.0
502500.0,Reservoir,10 Zinnia St,3,h,S,Ray,6/08/2016,11.2,3073.0,2.0,1.0,2.0,491.0,,,Darebin,-37.7152,144.9823,Northern Metropolitan,21650.0
1065000.0,Forest Hill,16 Wickham Av,6,h,S,hockingstuart,26/08/2017,15.4,3131.0,6.0,1.0,1.0,704.0,140.0,1950.0,,-37.83161,145.17555,Eastern Metropolitan,4385.0
631000.0,Coburg,60 Woiwurung Cr,2,t,S,Brad,3/09/2017,6.7,3058.0,2.0,2.0,1.0,1965.0,103.0,2000.0,,-37.73615,144.97455,Northern Metropolitan,11204.0
887000.0,Coburg North,38 Goleen St,3,h,S,Peter,8/04/2017,9.2,3058.0,3.0,1.0,2.0,560.0,,,Moreland,-37.7266,144.9647,Northern Metropolitan,3445.0
610000.0,Fairfield,2/152 Gillies St,2,h,S,Thomas,10/12/2016,5.8,3078.0,2.0,1.0,1.0,66.0,,,Darebin,-37.7722,145.0178,Northern Metropolitan,2970.0
1101000.0,Northcote,118 Roberts St,2,h,S,Jellis,14/05/2016,5.5,3070.0,2.0,1.0,0.0,229.0,99.0,1910.0,Darebin,-37.7784,145.0042,Northern Metropolitan,11364.0
750000.0,Moonee Ponds,25 Argyle St,2,h,VB,Nelson,15/10/2016,6.9,3039.0,2.0,1.0,1.0,0.0,,,Moonee Valley,-37.7686,144.9068,Western Metropolitan,6232.0
2016000.0,Glen Iris,8 Morell St,4,h,S,Jellis,18/03/2017,9.2,3146.0,4.0,2.0,3.0,733.0,,,Boroondara,-37.8561,145.0864,Southern Metropolitan,10412.0
3460000.0,Malvern,3 Plant St,4,h,S,Jellis,4/06/2016,7.4,3144.0,4.0,2.0,2.0,502.0,309.0,2016.0,Stonnington,-37.8515,145.0324,Southern Metropolitan,4675.0
751800.0,Doncaster,183a High St,3,u,SP,Jellis,27/11/2016,13.9,3108.0,3.0,1.0,2.0,109.0,120.0,2001.0,Manningham,-37.7749,145.1138,Eastern Metropolitan,9028.0
900000.0,Northcote,10 Campbell Gr,3,t,S,Nelson,16/07/2016,5.5,3070.0,3.0,2.0,2.0,608.0,138.0,2012.0,Darebin,-37.7763,144.9967,Northern Metropolitan,11364.0
290000.0,Caulfield North,8/359 Balaclava Rd,1,u,VB,hockingstuart,10/12/2016,8.1,3161.0,1.0,1.0,1.0,952.0,43.0,1970.0,Glen Eira,-37.8744,145.0371,Southern Metropolitan,6923.0
1560000.0,Surrey Hills,14 Scheele St,3,h,S,hockingstuart,24/09/2016,11.2,3127.0,0.0,2.0,1.0,335.0,209.0,2013.0,Boroondara,-37.8165,145.0981,Southern Metropolitan,5457.0
1355000.0,Preston,590 Murray Rd,3,h,S,Barry,15/10/2016,8.8,3072.0,3.0,1.0,2.0,916.0,,,Darebin,-37.7361,144.9883,Northern Metropolitan,14577.0
1575000.0,Balwyn North,85 Tannock St,3,h,PI,Noel,6/08/2016,9.2,3104.0,3.0,2.0,2.0,645.0,,1953.0,Boroondara,-37.7851,145.0957,Southern Metropolitan,7809.0
700000.0,Lalor,11 Delmare St,3,h,S,HAR,19/08/2017,16.3,3075.0,3.0,1.0,1.0,537.0,103.0,1975.0,,-37.669579999999996,145.02941,Northern Metropolitan,8279.0
607000.0,Sunshine North,7 Charles St,3,h,S,Douglas,7/05/2016,13.3,3020.0,3.0,1.0,2.0,575.0,,,Brimbank,-37.7748,144.833,Western Metropolitan,4217.0
1471000.0,Hampton East,31 Warland Rd,3,h,S,McGrath,25/02/2017,14.5,3188.0,3.0,2.0,2.0,732.0,,,Bayside,-37.9362,145.0339,Southern Metropolitan,2356.0
1037000.0,Brighton,147A Male St,2,t,S,Buxton,25/02/2017,11.2,3186.0,2.0,1.0,2.0,125.0,2.0,2009.0,Bayside,-37.9078,145.0051,Southern Metropolitan,10579.0
690000.0,Keilor East,86 Prospect Dr,3,h,S,Harcourts,8/10/2016,12.8,3033.0,3.0,2.0,2.0,568.0,148.0,1970.0,Moonee Valley,-37.7469,144.8526,Western Metropolitan,5629.0
548000.0,Craigieburn,40 Grove Rd,4,h,SP,Stockdale,12/08/2017,20.6,3064.0,4.0,2.0,2.0,400.0,171.0,2010.0,Hume,-37.5951,144.9091,Northern Metropolitan,15510.0
1080000.0,Oakleigh South,25 Luntar Rd,3,h,S,Woodards,12/11/2016,14.7,3167.0,3.0,2.0,2.0,716.0,,,Kingston,-37.9261,145.083,South-Eastern Metropolitan,3692.0
561000.0,South Morang,7 Loveridge Wy,4,h,SP,Ray,29/07/2017,20.5,3752.0,4.0,2.0,1.0,229.0,156.0,,Whittlesea,-37.62614,145.06723,Northern Metropolitan,7969.0
1285000.0,Coburg,35 Belgrave St,3,h,S,Nelson,22/07/2017,6.7,3058.0,3.0,1.0,2.0,579.0,143.0,1930.0,Moreland,-37.744820000000004,144.97499,Northern Metropolitan,11204.0
485000.0,Pascoe Vale,2/60 Bolingbroke St,2,u,S,Brad,13/08/2016,9.9,3044.0,2.0,1.0,1.0,139.0,74.0,1975.0,Moreland,-37.7315,144.9301,Northern Metropolitan,7485.0
1320000.0,Ivanhoe,207 Waterdale Rd,2,h,S,Miles,8/07/2017,7.8,3079.0,2.0,1.0,0.0,620.0,114.0,1920.0,Banyule,-37.760909999999996,145.04437,Eastern Metropolitan,5549.0
2250000.0,Ascot Vale,75 Maribyrnong Rd,6,h,PI,Jellis,13/05/2017,5.9,3032.0,6.0,3.0,2.0,1012.0,435.0,1887.0,Moonee Valley,-37.7721,144.9184,Western Metropolitan,6567.0
1430000.0,Malvern East,3 Carmelo Av,3,h,S,Buxton,3/09/2017,8.4,3145.0,3.0,1.0,1.0,641.0,,,,-37.87811,145.07778000000005,Southern Metropolitan,8801.0
890000.0,Brunswick,68 Henkel St,2,h,S,Jellis,18/06/2016,5.2,3056.0,2.0,1.0,1.0,259.0,,,Moreland,-37.7653,144.9565,Northern Metropolitan,11918.0
798000.0,Lalor,60 Dickens St,3,h,SA,Harcourts,22/07/2017,16.3,3075.0,3.0,1.0,2.0,806.0,,1964.0,Whittlesea,-37.66871,145.01,Northern Metropolitan,8279.0
1188000.0,Croydon,9 Columbia Av,5,h,S,hockingstuart,26/08/2017,23.0,3136.0,5.0,2.0,2.0,864.0,294.0,1980.0,,-37.79546,145.27002,Eastern Metropolitan,11925.0
1145000.0,Oakleigh,7 Hilbert Ct,4,h,S,Ray,22/04/2017,14.0,3166.0,4.0,2.0,2.0,538.0,,,Monash,-37.895,145.1014,Southern Metropolitan,3224.0
465000.0,Roxburgh Park,8 Kennedy Pde,4,h,S,Ray,26/08/2017,20.6,3064.0,4.0,2.0,1.0,417.0,,1999.0,,-37.62273,144.92567,Northern Metropolitan,5833.0
487500.0,Hawthorn,7/12 Pine St,2,u,S,Kay,17/09/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.814,145.02100000000004,Southern Metropolitan,11308.0
600000.0,Northcote,5/216 Westgarth St,2,u,S,Jellis,24/09/2016,5.5,3070.0,2.0,1.0,1.0,671.0,,,Darebin,-37.7833,145.0135,Northern Metropolitan,11364.0
1150000.0,Reservoir,72 Henty St,4,h,S,Barry,13/05/2017,11.2,3073.0,4.0,1.0,2.0,928.0,,,Darebin,-37.7179,144.9908,Northern Metropolitan,21650.0
655000.0,Burnside Heights,16 Stanthorp St,3,h,S,YPA,23/09/2017,14.8,3023.0,3.0,2.0,2.0,419.0,,2007.0,,-37.732440000000004,144.75669,Western Metropolitan,1686.0
585500.0,Oak Park,4/29 Margaret St,2,t,S,Eview,18/03/2017,11.5,3046.0,2.0,1.0,1.0,161.0,86.0,2013.0,Moreland,-37.7218,144.9188,Northern Metropolitan,2651.0
310000.0,Broadmeadows,3/11 Martell St,2,u,S,Barry,17/06/2017,14.0,3047.0,2.0,1.0,1.0,171.0,90.0,2008.0,Hume,-37.68489,144.9212,Northern Metropolitan,4294.0
1860000.0,Templestowe,19 Dena Ct,4,h,PI,Jellis,24/06/2017,15.5,3106.0,4.0,3.0,3.0,682.0,315.0,1995.0,Manningham,-37.7572,145.15456,Eastern Metropolitan,6202.0
353000.0,Maribyrnong,18/4 Wests Rd,2,u,S,Biggin,27/05/2017,4.3,3032.0,2.0,1.0,1.0,4977.0,79.0,2000.0,Maribyrnong,-37.77367,144.88161000000005,Western Metropolitan,4918.0
870000.0,Ascot Vale,1/37 Ascot Vale Rd,3,u,SP,Jellis,9/09/2017,4.3,3032.0,3.0,2.0,1.0,3215.0,178.0,1900.0,,-37.78344,144.92183,Western Metropolitan,6567.0
600000.0,Carnegie,2/31 Moonya Rd,2,u,SP,Woodards,3/12/2016,11.4,3163.0,2.0,1.0,1.0,73.0,61.0,1970.0,Glen Eira,-37.897,145.0593,Southern Metropolitan,7822.0
561000.0,Richmond,414/6 Lord St,2,u,S,Biggin,4/03/2017,2.6,3121.0,2.0,1.0,1.0,2571.0,66.0,2013.0,Yarra,-37.8198,145.005,Northern Metropolitan,14949.0
1380000.0,Elwood,4/130 Tennyson St,3,h,S,hockingstuart,19/08/2017,7.2,3184.0,3.0,1.0,2.0,1730.0,152.0,2001.0,,-37.8797,144.99088999999995,Southern Metropolitan,8989.0
800000.0,Brunswick East,2 Barkly St,3,t,VB,Nelson,18/06/2016,4.5,3057.0,3.0,3.0,2.0,0.0,,,Moreland,-37.7788,144.9776,Northern Metropolitan,5533.0
1868000.0,Doncaster,5 Arnold Gr,4,h,S,hockingstuart,7/05/2016,13.9,3108.0,3.0,2.0,2.0,925.0,218.0,1960.0,Manningham,-37.7869,145.1183,Eastern Metropolitan,9028.0
2165000.0,Essendon,11 Banchory St,4,h,S,Nelson,12/08/2017,7.5,3040.0,4.0,2.0,3.0,951.0,238.0,1930.0,Moonee Valley,-37.74997000000001,144.90752,Western Metropolitan,9264.0
1030000.0,St Kilda,71 Carlisle St,3,h,S,Jellis,28/05/2016,6.1,3182.0,3.0,1.0,1.0,292.0,,,Port Phillip,-37.8677,144.984,Southern Metropolitan,13240.0
913000.0,Altona,86 Grieve Pde,3,h,S,Greg,3/09/2017,11.0,3018.0,3.0,2.0,3.0,530.0,148.0,1985.0,,-37.8614,144.81931,Western Metropolitan,5301.0
400000.0,South Yarra,14/85 Caroline St,1,u,S,hockingstuart,18/06/2016,3.3,3141.0,1.0,1.0,1.0,0.0,45.0,1960.0,Stonnington,-37.8355,144.9884,Southern Metropolitan,14887.0
696000.0,Mooroolbark,149 Manchester Rd,3,h,S,Fletchers,29/07/2017,26.5,3138.0,3.0,1.0,2.0,886.0,120.0,1960.0,Yarra Ranges,-37.7753,145.31266000000005,Eastern Victoria,8280.0
488500.0,Glenroy,4/36 Acacia St,2,t,S,Stockdale,27/06/2016,13.0,3046.0,2.0,2.0,1.0,190.0,2.0,,Moreland,-37.7072,144.9241,Northern Metropolitan,8870.0
1675000.0,Bentleigh East,9 Vine Ct,4,h,S,Jellis,23/09/2017,13.8,3165.0,4.0,2.0,2.0,400.0,294.0,,,-37.91608,145.05715,Southern Metropolitan,10969.0
1740000.0,Moonee Ponds,2 Parry St,5,h,S,Brad,27/06/2016,6.9,3039.0,4.0,1.0,2.0,739.0,155.0,1930.0,Moonee Valley,-37.7613,144.9177,Western Metropolitan,6232.0
1158000.0,Glenroy,33 Kennedy St,3,h,S,YPA,6/05/2017,13.0,3046.0,3.0,1.0,1.0,1011.0,,,Moreland,-37.7115,144.912,Northern Metropolitan,8870.0
420000.0,Northcote,16/341 Heidelberg Rd,2,u,VB,McGrath,8/04/2017,5.5,3070.0,2.0,1.0,1.0,1000.0,,,Darebin,-37.7836,145.0139,Northern Metropolitan,11364.0
1160000.0,Wantirna South,11 Henry Rd,3,h,S,Ray,24/06/2017,14.7,3152.0,3.0,1.0,4.0,733.0,,,Knox,-37.87105,145.23872,Eastern Metropolitan,7082.0
1307000.0,Bentleigh East,53 Purtell St,3,h,S,Woodards,13/08/2016,13.9,3165.0,3.0,2.0,4.0,684.0,,,Glen Eira,-37.926,145.0551,Southern Metropolitan,10969.0
1390000.0,Elsternwick,5 Baxter St,3,h,PI,Biggin,15/10/2016,8.5,3185.0,3.0,1.0,2.0,463.0,102.0,,Glen Eira,-37.8879,145.0134,Southern Metropolitan,4898.0
920000.0,Reservoir,76 North Rd,2,h,S,Nelson,16/09/2017,12.0,3073.0,2.0,1.0,2.0,665.0,100.0,1955.0,,-37.72303,145.01883999999995,Northern Metropolitan,21650.0
303500.0,Thornbury,8/77 Pender St,1,u,SP,Woodards,27/11/2016,6.5,3071.0,1.0,1.0,1.0,0.0,41.0,1970.0,Darebin,-37.7542,145.01,Northern Metropolitan,8870.0
512000.0,Seaford,137 East Rd,3,h,S,hockingstuart,26/08/2017,35.4,3198.0,3.0,1.0,1.0,576.0,105.0,1983.0,,-38.10505,145.15328,South-Eastern Metropolitan,8077.0
697500.0,Heidelberg Heights,396 Waterdale Rd,3,h,PI,Nelson,12/08/2017,8.8,3081.0,3.0,1.0,1.0,430.0,,,Banyule,-37.74962,145.04658,Eastern Metropolitan,2947.0
1600000.0,Hampton,16 Carolyn St,4,h,S,Charlton,24/06/2017,13.8,3188.0,4.0,2.0,3.0,633.0,,1950.0,Bayside,-37.94039,145.02233999999999,Southern Metropolitan,5454.0
2850000.0,Camberwell,15 Tyne St,4,h,S,Jellis,23/09/2017,7.7,3124.0,4.0,2.0,8.0,905.0,,,,-37.84578,145.08436,Southern Metropolitan,8920.0
1750000.0,Templestowe,270 Serpells Rd,5,h,PI,Ray,12/08/2017,15.5,3106.0,5.0,3.0,2.0,787.0,334.0,1990.0,Manningham,-37.76873,145.15894,Eastern Metropolitan,6202.0
3000000.0,Richmond,2 Portland St,3,h,VB,Jellis,20/05/2017,2.6,3121.0,3.0,2.0,7.0,230.0,204.0,2011.0,Yarra,-37.8213,144.9948,Northern Metropolitan,14949.0
