customer_id,level_tenure,member_score,num_promoted,account_bal,location,member_type,response
SB0000060613,67,662,0,3686,W,C,0
SB0000039586,167,520,0,2284,E,T,0
SB0000069827,127,697,0,2480,E,C,0
SB0000038100,171,720,0,3693,E,C,0
SB0000071818,127,718,0,3085,E,C,0
SB0000088754,115,520,0,1045,N,T,0
SB0000130537,171,665,0,2259,E,C,0
SB0000114503,87,697,0,3104,N,C,0
SB0000029359,79,701,0,3835,N,C,0
SB0000061395,198,755,0,2843,E,S,0
SB0000088484,206,520,0,3826,S,T,0
SB0000086763,202,760,0,2790,S,S,0
SB0000110373,238,520,0,568,S,T,0
SB0000074304,206,690,0,3469,S,C,0
SB0000070693,190,520,0,3685,E,T,0
SB0000050328,151,702,0,2896,E,C,0
SB0000106821,155,694,0,3419,E,C,0
SB0000046980,135,752,0,3236,E,S,0
SB0000104984,159,668,0,2223,E,C,0
SB0000123473,63,664,0,3549,W,C,0
SB0000144139,,684,0,2566,E,C,0
SB0000048463,222,520,0,3408,S,,0
SB0000131920,143,597,0,3475,E,R,0
SB0000038785,79,755,0,3498,N,S,0
SB0000099265,147,716,0,1801,E,C,0
SB0000097187,79,716,0,3696,N,C,0
SB0000104458,83,672,0,3715,N,C,0
SB0000034479,119,643,0,2790,N,N,0
SB0000067323,179,702,0,2878,E,C,0
SB0000022878,202,760,0,2638,S,S,0
SB0000113366,48,647,0,3764,W,N,0
SB0000123760,194,582,0,2938,E,R,0
SB0000054395,91,520,0,2307,N,T,0
SB0000073210,143,655,0,2229,E,C,0
SB0000074917,119,520,0,2711,N,T,0
SB0000079851,123,672,0,2503,E,C,0
SB0000103480,242,753,0,3764,S,S,0
SB0000150492,75,701,0,3852,N,C,0
SB0000088926,238,520,0,1036,S,T,0
SB0000115053,32,520,0,,W,T,0
SB0000013952,135,703,0,3104,E,C,0
SB0000124928,131,727,0,3070,E,S,0
SB0000130556,75,666,0,3070,N,C,0
SB0000035715,40,752,0,3724,W,S,0
SB0000099271,151,705,0,2480,E,C,0
SB0000037462,159,535,0,,E,T,0
SB0000121060,123,722,0,3929,E,C,0
SB0000107985,91,520,0,3286,N,T,1
SB0000128206,60,520,0,3389,W,T,0
SB0000022925,115,520,0,3286,N,T,0
SB0000061652,167,684,0,3551,E,C,0
SB0000098425,242,520,0,2157,S,T,0
SB0000139878,91,590,0,3383,N,R,0
SB0000057841,16,760,0,3852,W,S,0
SB0000115438,155,520,0,3587,E,T,0
SB0000135975,123,757,0,3410,E,S,0
SB0000015008,147,691,0,3427,E,C,0
SB0000092134,155,648,0,3091,E,N,0
SB0000094022,167,759,0,3897,E,S,0
SB0000072242,147,626,0,1801,E,N,0
SB0000023360,210,520,0,2182,S,T,0
SB0000125747,194,588,0,3534,E,R,0
SB0000148886,206,539,0,3852,S,T,0
SB0000133214,95,646,0,3410,N,N,0
SB0000144580,123,687,1,2878,E,C,0
SB0000017926,131,673,0,2159,E,C,0
SB0000027620,127,520,0,3490,E,T,0
SB0000144444,159,694,0,3243,E,C,0
SB0000132116,246,520,0,3696,S,T,0
SB0000015426,171,725,0,2436,E,S,0
SB0000046048,79,547,0,3481,N,T,1
SB0000145910,36,701,0,3289,W,C,0
SB0000110022,99,553,0,3233,N,T,1
SB0000033104,147,520,0,,E,T,1
SB0000030413,87,759,0,2239,N,S,0
SB0000027851,210,675,0,3711,S,C,0
SB0000058799,143,723,0,1952,E,C,0
SB0000031821,107,736,0,3720,N,S,0
SB0000073496,147,580,0,2475,E,R,0
SB0000038384,91,650,0,3439,N,N,0
SB0000100716,151,520,0,1712,E,T,1
SB0000072248,214,715,0,3527,S,,0
SB0000147149,163,682,0,3631,E,C,0
SB0000135866,147,748,0,-132,E,S,0
SB0000060151,218,673,0,3876,S,C,0
SB0000061294,182,585,0,,E,R,0
SB0000061533,131,722,0,3498,E,C,0
SB0000033410,190,661,0,3870,E,C,0
SB0000044974,40,739,0,3233,W,S,0
SB0000101684,60,724,0,3764,W,S,0
SB0000077375,167,725,0,931,E,S,0
SB0000025257,44,747,0,2878,W,S,0
SB0000026901,115,520,0,2964,N,T,1
SB0000103689,95,696,0,2648,N,C,0
SB0000094576,246,760,0,3990,S,S,0
SB0000111214,127,614,0,2860,E,R,0
SB0000124326,60,717,0,3779,W,C,1
SB0000068293,135,520,1,3914,E,T,0
SB0000141044,202,520,0,4073,S,T,0
SB0000078797,60,754,0,3640,W,,0
SB0000043696,179,731,0,3366,E,S,0
SB0000127462,246,599,0,,S,R,0
SB0000113441,171,520,0,4068,E,T,0
SB0000101559,147,689,1,2367,E,,0
SB0000029157,202,520,0,2616,S,T,0
SB0000022301,115,685,0,3828,N,C,0
SB0000110823,163,759,0,9613,E,S,0
SB0000023088,95,641,0,1816,N,N,0
SB0000062232,71,520,0,914,W,T,0
SB0000121131,163,611,0,3534,E,R,0
SB0000105804,194,520,0,3414,E,T,0
SB0000119205,32,520,0,2895,,T,1
SB0000088850,202,595,0,3881,S,R,0
SB0000130700,123,637,0,3489,E,N,0
SB0000066154,163,669,0,3569,E,C,0
SB0000090635,,625,0,3682,E,N,0
SB0000038184,52,748,0,3357,W,S,0
SB0000078260,67,717,0,3114,W,C,0
SB0000056821,91,597,0,3226,N,R,0
SB0000114727,107,646,0,3262,N,N,0
SB0000106889,222,757,0,3498,S,S,0
SB0000029971,167,651,0,2657,E,N,0
SB0000109512,246,760,0,4094,S,S,0
SB0000031645,155,725,0,3450,E,S,0
SB0000086534,28,739,0,3840,W,S,1
SB0000065199,151,658,0,2489,E,C,0
SB0000057393,123,722,0,-132,E,C,0
SB0000146106,87,612,0,3752,N,R,0
SB0000110810,63,558,0,3750,W,R,0
SB0000057693,52,679,0,3174,W,C,0
SB0000120985,60,520,0,2475,W,T,1
SB0000045303,159,722,0,3439,E,C,0
SB0000140431,222,634,0,3587,S,N,0
SB0000143767,83,696,0,3528,N,C,0
SB0000130242,60,718,0,3782,W,C,0
SB0000085054,16,520,0,285,W,,1
SB0000125749,60,760,0,2164,W,S,0
SB0000026665,56,520,0,2959,W,T,0
SB0000044102,202,703,0,2932,S,C,0
SB0000076417,52,758,0,2485,W,S,0
SB0000084177,171,710,0,2703,E,C,0
SB0000033068,44,520,0,206,W,T,1
SB0000128872,171,520,0,2685,E,T,0
SB0000057594,230,696,0,3823,S,C,0
SB0000075626,60,634,0,3115,W,N,0
SB0000025680,111,688,0,3702,N,C,0
SB0000114530,95,759,0,2819,N,S,0
SB0000108567,79,693,0,2689,N,C,0
SB0000013124,40,520,0,3728,W,T,0
SB0000070089,182,665,0,3442,E,C,0
SB0000100659,103,750,0,3587,N,S,0
SB0000031728,171,712,0,3080,E,C,0
SB0000095677,194,750,0,3897,E,S,0
SB0000086892,44,675,0,3188,W,C,0
SB0000144020,91,717,0,3906,N,C,0
SB0000142348,179,675,0,1462,E,C,0
SB0000058396,179,520,0,841,E,T,0
SB0000117134,103,705,0,2524,N,C,0
SB0000078365,107,520,0,2309,N,T,0
SB0000055154,111,652,0,7296,N,C,1
SB0000099161,186,663,0,3262,E,C,0
SB0000111129,32,730,0,3484,W,S,0
SB0000040177,75,716,0,3751,N,C,0
SB0000122026,119,699,0,2638,N,C,0
SB0000049188,111,520,0,3016,N,T,0
SB0000134479,630,760,0,2990,W,S,0
SB0000086182,210,757,0,1001,S,S,0
SB0000095931,175,520,0,3734,E,T,0
SB0000086042,218,755,0,,S,S,0
SB0000146332,190,520,0,1395,,T,0
SB0000098134,147,622,0,3070,E,N,0
SB0000021091,163,520,0,3064,E,T,0
SB0000123634,83,678,0,3135,N,C,0
SB0000039558,123,520,0,4066,E,T,1
SB0000033645,99,520,0,2298,N,T,1
SB0000097015,131,656,0,2896,E,C,0
SB0000041073,44,673,0,3888,,C,1
SB0000055608,32,520,0,1925,W,T,0
SB0000018381,167,696,0,-132,E,C,0
SB0000035842,222,520,0,4065,S,,0
SB0000032220,95,520,0,3015,N,T,0
SB0000080049,91,705,0,3569,N,C,0
SB0000128517,44,678,0,3764,W,C,1
SB0000040355,71,661,0,3089,W,C,0
SB0000105116,52,680,0,2991,W,C,0
SB0000127741,167,627,0,3056,E,N,0
SB0000148162,107,753,0,3427,N,S,0
SB0000050777,147,760,0,3051,E,S,0
SB0000035080,155,706,0,2082,E,C,0
SB0000014984,147,710,0,2453,E,,0
SB0000087002,87,701,0,3675,N,C,0
SB0000027956,16,757,0,4047,W,S,0
SB0000089958,79,689,0,2701,N,C,0
SB0000080140,179,698,0,3308,E,C,0
SB0000044280,95,520,0,3884,N,T,0
SB0000121767,67,706,0,3717,W,C,1
SB0000041834,202,520,0,2697,S,T,0
SB0000150298,36,710,0,3817,W,C,1
SB0000150001,194,545,0,3705,E,T,0
SB0000079820,167,545,0,3587,E,T,0
SB0000139126,40,685,0,3115,W,C,0
SB0000019074,99,760,0,3587,N,S,0
SB0000099480,107,680,0,3622,N,C,0
SB0000135945,111,520,0,,,T,0
SB0000030872,115,732,0,9018,N,S,1
SB0000129777,,760,0,2878,S,S,0
SB0000095223,206,642,0,3728,S,N,0
SB0000072505,135,688,0,3309,E,C,0
SB0000147347,103,520,0,4026,N,T,1
SB0000071534,115,724,0,3336,N,S,0
SB0000128343,63,718,0,3179,W,C,0
SB0000024355,246,520,0,-132,S,T,0
SB0000123176,143,680,0,2639,E,C,0
SB0000135700,24,720,0,,W,C,0
SB0000036892,56,757,0,3714,W,S,1
SB0000052548,167,652,0,3764,E,N,1
SB0000014980,123,602,0,1727,E,R,0
SB0000126637,135,520,0,3882,E,T,0
SB0000055862,135,757,0,3779,E,S,0
SB0000100870,163,520,0,1420,E,T,0
SB0000126095,123,650,0,3020,E,N,0
SB0000108100,163,520,0,893,E,T,0
SB0000076406,182,710,0,1936,E,C,0
SB0000117923,91,520,0,2931,N,T,0
SB0000032259,182,520,0,4114,,T,0
SB0000093555,99,520,0,,N,T,1
SB0000075806,190,740,0,1108,E,S,0
SB0000035175,151,634,0,1568,E,N,0
SB0000062512,143,665,0,2878,E,C,0
SB0000056480,143,685,0,2819,E,C,0
SB0000065083,87,648,0,3320,N,N,0
SB0000068070,28,520,0,3261,W,T,0
SB0000048711,115,674,0,3060,N,C,0
SB0000060821,139,613,0,3269,E,R,0
SB0000150173,79,715,0,3165,N,C,0
SB0000075016,179,683,0,3197,E,C,0
SB0000052481,,699,0,3764,E,C,0
SB0000067388,91,623,0,2808,N,N,0
SB0000112838,159,759,0,3641,E,S,0
SB0000098653,246,759,0,3608,S,S,0
SB0000064321,103,674,0,7449,N,C,0
SB0000048577,190,709,0,2082,E,C,0
SB0000054370,99,520,0,4061,N,T,0
SB0000150811,194,664,0,2939,E,C,0
SB0000035097,167,716,0,2244,E,C,0
SB0000149494,246,759,0,3105,S,S,0
SB0000034753,246,520,0,893,S,T,0
SB0000063278,171,641,0,3842,E,N,0
SB0000052175,171,681,0,2864,E,C,0
SB0000054799,155,520,0,2604,E,T,0
SB0000042194,91,619,0,3365,,N,1
SB0000126361,182,712,0,3640,E,C,0
SB0000033007,242,720,0,3870,S,C,0
SB0000068066,214,760,0,1429,S,S,0
SB0000017569,186,520,0,4113,E,T,0
SB0000101467,182,712,0,2516,E,C,0
SB0000103009,190,732,0,2849,E,S,0
SB0000067240,52,679,0,3410,W,C,0
SB0000126593,103,695,0,2985,N,C,0
SB0000093774,91,520,0,2376,N,T,0
SB0000111739,135,641,0,2967,E,N,0
SB0000092384,167,753,0,2836,E,S,0
SB0000029295,,728,0,3587,W,S,0
SB0000092677,131,752,0,3959,E,S,0
SB0000135630,99,683,0,2731,N,C,0
SB0000052964,48,629,0,3473,W,N,1
SB0000126748,230,681,0,3684,S,C,0
SB0000142036,111,674,0,2931,N,C,0
SB0000080054,119,693,0,2418,N,C,0
SB0000061620,75,677,0,2730,N,C,0
SB0000096104,135,739,0,2179,E,S,0
SB0000105180,91,520,0,3076,N,T,1
SB0000110481,87,678,0,3233,N,C,0
SB0000108054,95,663,0,2524,N,C,0
SB0000023846,143,631,0,3622,E,N,0
SB0000044622,179,756,0,2284,E,S,0
SB0000052611,127,685,0,2530,E,C,0
SB0000131863,175,520,0,3399,E,T,0
SB0000093656,194,709,0,1851,E,C,0
SB0000073973,163,520,0,3535,E,T,0
SB0000089913,83,724,0,1851,N,C,0
SB0000055557,210,719,0,3705,S,C,0
SB0000034876,238,726,0,3144,S,S,0
SB0000061803,171,520,0,3510,E,T,0
SB0000080606,91,708,0,2772,N,C,0
SB0000072606,40,520,0,3906,W,T,0
SB0000118278,190,660,0,2878,E,C,0
SB0000081836,107,740,0,3268,N,S,0
SB0000109731,151,655,0,3250,E,C,0
SB0000017949,206,679,0,3976,S,C,0
SB0000017063,48,692,0,3699,W,C,0
SB0000021525,186,676,0,3145,E,,0
SB0000094548,171,603,0,3715,E,,0
SB0000138067,103,520,0,3495,N,T,0
SB0000027706,179,760,0,2375,E,S,0
SB0000040322,190,760,0,257,E,S,0
SB0000059561,111,677,0,3445,N,C,0
SB0000126037,139,520,0,1702,E,T,0
SB0000047844,167,520,0,4083,E,T,0
SB0000115375,147,664,0,2940,E,C,0
SB0000093828,163,693,0,2852,E,C,0
SB0000099607,63,712,0,1993,W,C,0
SB0000040851,79,706,0,2233,N,C,0
SB0000014663,52,752,0,3764,W,S,0
SB0000149798,210,555,0,2790,S,T,0
SB0000131596,242,520,0,2125,S,T,0
SB0000033165,99,520,0,3464,N,T,1
SB0000091076,190,634,0,3604,E,N,0
SB0000148989,171,759,0,3262,E,S,0
SB0000047939,111,662,0,3498,N,C,1
SB0000076358,139,651,0,3336,E,N,0
SB0000082314,32,726,0,3882,W,S,0
SB0000059661,127,677,1,2699,E,C,0
SB0000050847,139,760,0,3056,E,S,0
SB0000097629,87,631,0,3534,N,N,0
SB0000124591,218,704,0,-132,S,C,0
SB0000150407,123,738,0,1993,,S,0
SB0000086908,75,520,0,1494,N,T,0
SB0000050453,127,614,0,3511,E,R,0
SB0000070115,143,751,0,1860,E,S,0
SB0000034437,167,520,0,3691,E,T,0
SB0000143091,83,639,1,2893,N,N,0
SB0000095961,194,690,0,2436,E,C,0
SB0000111229,107,690,0,2082,N,C,1
SB0000020962,131,619,0,3772,E,N,0
SB0000028472,115,708,0,3451,N,C,0
SB0000107294,151,520,0,3144,E,T,0
SB0000118587,246,661,0,,S,C,0
SB0000136430,147,677,0,1919,E,C,0
SB0000041476,60,760,0,3286,W,S,0
SB0000107035,186,584,0,3489,E,R,0
SB0000063064,143,572,0,3326,E,,0
SB0000110967,171,710,0,3512,E,C,0
SB0000090988,119,537,0,3661,N,T,0
SB0000047053,155,731,0,3737,E,S,0
SB0000013404,222,575,0,,S,R,0
SB0000134260,111,693,0,3441,N,C,1
SB0000095395,103,684,0,3160,N,C,0
SB0000065372,167,751,0,3233,E,S,0
SB0000131722,151,520,0,3675,E,T,0
SB0000015412,111,735,0,2805,N,S,0
SB0000072848,179,759,0,3733,E,S,0
SB0000045112,147,663,0,2841,E,C,0
SB0000062020,87,710,0,1798,N,C,0
SB0000025252,71,749,0,3287,W,S,0
SB0000062489,56,680,0,,W,,0
SB0000057801,175,569,0,3852,E,R,0
SB0000098055,222,759,0,2520,S,S,0
SB0000096274,238,646,0,3675,S,N,0
SB0000093331,151,660,0,3410,E,C,0
SB0000134391,119,684,0,2171,N,C,0
SB0000107516,99,520,0,811,,T,0
SB0000144925,131,683,0,3852,E,C,0
SB0000114730,194,617,0,3803,E,N,0
SB0000110538,48,728,0,3718,W,S,0
SB0000069384,127,731,0,3427,E,S,0
SB0000085315,111,520,0,4064,N,T,0
SB0000069305,179,520,0,4070,E,T,0
SB0000047928,60,588,0,3658,W,R,0
SB0000027943,143,750,0,2383,E,S,0
SB0000118728,119,618,0,2383,N,N,0
SB0000025967,159,661,0,2819,E,C,0
SB0000078627,226,732,0,3534,,S,0
SB0000136171,135,682,0,2519,E,C,0
SB0000089122,36,754,0,3675,W,S,0
SB0000147549,202,520,0,993,,T,0
SB0000030822,103,692,0,2451,N,C,0
SB0000111600,151,625,0,3562,E,N,0
SB0000107249,198,520,0,2047,E,T,0
SB0000088681,107,664,0,3115,N,C,0
SB0000058582,87,607,0,3852,N,R,0
SB0000028755,194,760,0,3941,E,,0
SB0000075387,36,731,0,2701,W,S,0
SB0000134330,179,654,0,2878,E,C,0
SB0000123470,182,675,0,3587,E,C,0
SB0000063139,206,570,0,3613,S,R,0
SB0000079772,127,760,0,3956,E,S,0
SB0000073476,56,698,0,2583,,,0
SB0000145157,234,760,0,2606,,S,0
SB0000150319,87,520,0,-132,N,T,0
SB0000039871,167,663,0,3501,E,C,0
SB0000133285,179,717,0,2436,E,C,0
SB0000037832,48,686,0,3410,W,C,0
SB0000037089,87,520,0,2494,N,T,0
SB0000138907,182,728,0,3498,E,S,0
SB0000133739,67,657,0,3179,W,C,0
SB0000108113,115,637,0,3197,N,N,0
SB0000097883,222,715,0,3498,S,C,0
SB0000031420,123,582,0,3823,E,R,1
SB0000041214,56,750,0,3233,W,,0
SB0000082352,48,624,0,4012,W,N,1
SB0000060350,123,662,0,3233,E,C,0
SB0000036411,218,520,0,,S,T,0
SB0000148043,139,713,0,3906,E,C,0
SB0000068767,194,582,0,2241,E,R,1
SB0000134725,135,613,0,2914,,R,0
SB0000030456,179,520,0,4064,E,T,0
SB0000145982,210,520,0,3875,S,T,0
SB0000079166,103,690,0,3208,N,C,0
SB0000042338,175,722,0,3108,E,C,0
SB0000144992,234,520,0,2993,S,T,0
SB0000108483,115,684,0,2170,N,C,0
SB0000026833,103,619,0,3728,N,N,0
SB0000118853,159,520,0,3852,E,T,0
SB0000085202,222,689,0,3587,S,C,0
SB0000048005,155,591,0,3498,E,R,0
SB0000115490,186,520,0,3977,E,T,0
SB0000099849,135,520,0,1880,E,T,0
SB0000035504,186,649,0,2170,E,N,0
SB0000047282,206,733,0,2505,S,S,0
SB0000101655,107,690,0,3176,N,C,0
SB0000055075,186,520,0,3771,E,T,0
SB0000145775,131,673,0,2994,E,C,0
SB0000102898,103,637,0,3162,N,N,0
SB0000061122,79,715,0,3498,N,C,0
SB0000114222,135,682,0,3225,E,C,0
SB0000141387,167,520,0,2423,E,T,0
SB0000018200,147,520,0,3176,E,T,0
SB0000041649,163,645,0,2555,E,N,0
SB0000083884,75,649,0,3056,N,N,0
SB0000127595,75,687,0,3262,N,C,0
SB0000012780,95,617,0,3817,N,N,1
SB0000061402,123,626,0,3498,E,N,0
SB0000085673,159,596,0,2135,E,R,0
SB0000089227,111,520,0,2234,N,T,0
SB0000027824,190,747,0,4029,E,S,0
SB0000058107,143,727,0,2731,E,S,0
SB0000123617,163,724,0,1921,E,C,0
SB0000143054,115,520,0,1725,N,T,0
SB0000138306,198,629,0,2639,E,N,0
SB0000139482,167,626,0,3764,E,N,0
SB0000125104,202,520,0,3414,S,T,0
SB0000047507,143,654,0,3162,E,C,0
SB0000017915,127,654,0,2702,E,C,0
SB0000036416,107,613,0,3188,N,R,0
SB0000021503,179,681,0,3542,E,C,0
SB0000048117,115,520,0,3056,N,T,0
SB0000102358,40,589,0,3587,W,R,0
SB0000061239,163,637,0,3574,,N,0
SB0000120012,246,760,0,2995,S,S,0
SB0000087657,167,667,0,3911,E,C,0
SB0000140231,238,709,0,3728,S,C,0
SB0000054093,103,702,0,2463,N,C,0
SB0000037209,214,581,0,3733,S,R,0
SB0000045928,115,698,0,3899,N,C,0
SB0000015810,71,637,0,3861,W,N,1
SB0000043213,28,760,0,3906,W,S,0
SB0000129882,143,735,0,-132,E,S,0
SB0000131071,182,713,0,1713,E,C,0
SB0000012420,151,642,0,3419,E,N,0
SB0000066372,135,643,0,3728,E,N,0
SB0000022307,246,759,0,2903,S,S,0
SB0000144672,139,588,0,3052,E,R,0
SB0000112116,48,697,0,10722,W,C,0
SB0000048495,71,716,0,3545,W,C,0
SB0000143156,214,520,0,3587,S,T,0
SB0000074565,75,642,0,3549,N,N,0
SB0000066779,131,614,0,2439,E,R,0
SB0000132660,246,758,0,2684,S,S,0
SB0000115559,91,715,0,2285,N,C,0
SB0000026770,,697,0,2436,E,C,0
SB0000062363,167,520,0,,E,T,0
SB0000016424,230,760,0,3146,S,S,0
SB0000100214,56,726,0,3016,W,S,0
SB0000072914,91,674,0,3410,N,C,0
SB0000138927,167,702,0,3683,E,C,0
SB0000093406,226,749,0,1108,S,S,0
SB0000026436,230,750,0,2967,S,S,0
SB0000038175,79,520,0,2087,N,T,0
SB0000032762,48,702,0,3587,W,C,0
SB0000021292,48,760,0,1156,W,S,1
SB0000043776,175,677,0,2452,,C,0
SB0000047223,111,620,0,2642,N,N,0
SB0000030728,91,520,0,3675,N,T,0
SB0000100717,71,696,0,4047,W,C,0
SB0000080651,48,760,0,3640,W,,0
SB0000150836,75,707,0,1524,N,C,0
SB0000075638,179,758,0,3056,E,S,0
SB0000135825,63,629,0,2183,W,N,0
SB0000119856,91,634,0,3658,N,,1
SB0000097816,139,760,0,3786,E,S,0
SB0000055645,202,709,0,3870,S,C,0
SB0000019529,79,598,0,3268,N,R,0
SB0000139258,111,697,0,3557,N,C,0
SB0000098413,246,717,0,2524,S,C,0
SB0000110030,127,520,0,1280,E,T,0
SB0000076965,75,551,0,3658,N,T,0
SB0000028589,75,759,0,2819,N,S,0
SB0000132811,91,743,0,2878,N,S,0
SB0000119053,143,667,0,3233,E,C,0
SB0000145687,159,663,0,,E,C,0
SB0000138840,107,700,0,3587,N,C,0
SB0000033601,71,756,0,3851,W,S,1
SB0000025621,222,520,0,3028,S,T,0
SB0000088068,179,601,0,3052,E,R,0
SB0000040821,131,706,0,2569,E,C,0
SB0000094322,91,520,0,809,N,T,0
SB0000052786,155,718,0,3216,E,,0
SB0000033897,179,668,0,2997,E,C,0
SB0000061855,226,757,0,3587,S,S,0
SB0000133637,210,729,0,3284,S,S,0
SB0000025991,198,520,0,1748,E,T,0
SB0000119978,71,742,0,2495,W,S,0
SB0000150487,167,628,0,2854,E,N,0
SB0000118792,190,520,0,1735,E,T,0
SB0000070873,167,520,0,3810,E,T,0
SB0000118482,151,608,0,3484,E,R,0
SB0000095573,103,520,0,3939,N,T,0
SB0000013595,123,669,0,3164,E,C,0
SB0000116551,139,686,0,3410,E,C,0
SB0000060673,32,757,0,3870,W,S,1
SB0000014998,40,713,0,3728,W,C,0
SB0000039250,171,679,0,3085,E,C,0
SB0000031827,83,520,0,4047,N,T,0
SB0000061414,171,633,0,3540,E,N,0
SB0000148702,71,559,0,3516,W,R,1
SB0000096785,95,685,0,3039,N,C,0
SB0000104437,91,529,0,3939,N,T,0
SB0000078646,67,735,0,3974,W,S,0
SB0000037363,60,671,0,3894,W,C,1
SB0000122779,36,520,0,2450,W,T,1
SB0000115708,155,698,0,1993,E,C,0
SB0000031198,,520,0,2474,N,T,0
SB0000141021,186,625,0,3802,E,N,0
SB0000034991,87,620,0,3059,N,N,0
SB0000090846,95,520,0,3466,N,T,0
SB0000133047,151,679,0,3380,E,C,0
SB0000090675,67,710,0,3954,W,C,0
SB0000084247,123,520,0,3149,,T,0
SB0000012437,63,682,0,3587,W,C,0
SB0000015149,115,698,0,2912,N,C,0
SB0000031774,190,656,0,3520,E,C,0
SB0000074790,52,617,0,3782,W,N,0
SB0000108406,143,608,0,3779,E,R,0
SB0000030627,107,575,0,3321,N,R,1
SB0000094252,147,520,0,1644,,T,0
SB0000022401,75,644,0,3882,N,N,1
SB0000047858,222,520,0,3020,S,T,0
SB0000101071,79,554,0,3587,N,T,0
SB0000100172,127,520,0,2719,E,T,0
SB0000085728,175,671,0,3205,E,C,0
SB0000067779,123,520,0,3649,E,T,0
SB0000053486,246,520,0,2297,S,T,0
SB0000111442,159,672,0,3557,E,C,0
SB0000113921,186,746,0,2436,E,S,0
SB0000029794,60,550,0,3927,W,T,0
SB0000133346,159,678,0,2512,E,C,0
SB0000132694,163,520,0,,E,T,0
SB0000114769,60,753,0,3852,W,S,0
SB0000090433,111,575,0,3525,N,R,0
SB0000117570,107,739,0,3446,N,S,0
SB0000012655,115,750,0,-132,N,S,0
SB0000122316,155,689,0,2808,E,C,0
SB0000040948,198,759,0,3115,E,S,0
SB0000146179,111,686,0,3675,N,C,0
SB0000146936,,737,0,3587,N,S,0
SB0000116145,24,760,0,,W,S,0
SB0000091561,139,655,0,3557,E,C,0
SB0000019667,131,729,0,,E,S,0
SB0000018178,79,733,0,3906,N,S,0
SB0000027157,155,618,0,3764,E,N,0
SB0000035348,186,520,0,2983,E,T,0
SB0000118122,186,673,0,2524,E,C,0
SB0000094021,143,743,0,3587,E,S,0
SB0000076480,190,712,0,2929,E,C,0
SB0000031901,95,705,0,2301,,C,0
SB0000056242,226,520,0,3716,S,T,0
SB0000035376,147,654,0,2748,E,C,0
SB0000062076,123,520,0,3675,E,T,0
SB0000072123,127,698,0,3233,E,C,0
SB0000131235,107,694,0,2308,,C,0
SB0000068445,218,604,0,3791,S,R,0
SB0000037318,20,755,0,3835,W,S,1
SB0000091095,194,696,0,3393,E,C,0
SB0000105282,12,760,0,2680,W,,0
SB0000101505,139,744,0,3666,E,S,1
SB0000144465,131,696,0,3218,E,C,0
SB0000057717,,675,0,3906,W,C,0
SB0000098313,119,635,0,2941,N,N,0
SB0000126091,206,665,0,3629,,C,0
SB0000101997,79,655,0,3755,N,C,0
SB0000016722,194,603,0,3852,E,R,0
