,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
12948,-121.28,38.63,36.0,120.0,16.0,30.0,14.0,10.2264,INLAND,350000.0
11915,-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,INLAND,111500.0
8150,-118.09,33.81,36.0,1878.0,323.0,846.0,325.0,7.1937,<1H OCEAN,254400.0
11783,-121.23,38.78,13.0,3813.0,871.0,1513.0,783.0,2.0807,INLAND,142600.0
6965,-118.06,33.99,46.0,1203.0,219.0,637.0,211.0,3.3611,<1H OCEAN,174400.0
17557,-121.89,37.33,42.0,1279.0,358.0,1254.0,340.0,2.2583,<1H OCEAN,192500.0
8648,-118.4,33.87,45.0,2181.0,505.0,965.0,471.0,5.3816,<1H OCEAN,500001.0
14318,-117.14,32.7,44.0,658.0,218.0,869.0,212.0,1.9338,NEAR OCEAN,89400.0
7060,-118.04,33.92,35.0,2469.0,522.0,2151.0,537.0,3.4219,<1H OCEAN,156200.0
13438,-117.44,34.08,15.0,5024.0,992.0,3208.0,981.0,3.6025,INLAND,116400.0
14487,-117.25,32.86,25.0,2911.0,533.0,1137.0,499.0,5.1023,NEAR OCEAN,500001.0
11598,-118.07,33.79,34.0,2473.0,383.0,967.0,353.0,5.8283,<1H OCEAN,362400.0
3410,-118.32,34.26,24.0,5106.0,1010.0,2310.0,957.0,4.4375,<1H OCEAN,191500.0
4100,-118.37,34.14,21.0,4670.0,1161.0,1914.0,1094.0,3.7986,<1H OCEAN,367700.0
19672,-120.84,37.52,16.0,4527.0,887.0,2531.0,825.0,3.7065,INLAND,124800.0
16609,-120.47,35.74,9.0,4267.0,785.0,2065.0,691.0,3.7303,<1H OCEAN,162700.0
15547,-117.08,33.09,23.0,3792.0,624.0,1988.0,658.0,4.7566,<1H OCEAN,178300.0
3722,-118.42,34.19,33.0,3353.0,790.0,2318.0,775.0,2.2589,<1H OCEAN,269700.0
6304,-117.92,34.0,36.0,116.0,30.0,193.0,35.0,3.8125,<1H OCEAN,136300.0
11291,-117.94,33.78,34.0,2627.0,468.0,1409.0,450.0,4.7731,<1H OCEAN,199200.0
17145,-122.18,37.44,44.0,2237.0,347.0,948.0,346.0,8.2436,NEAR OCEAN,500001.0
8584,-118.4,33.89,31.0,2926.0,492.0,1149.0,476.0,7.9611,<1H OCEAN,500001.0
11094,-117.88,33.84,26.0,1499.0,290.0,755.0,277.0,3.5893,<1H OCEAN,238500.0
17882,-122.01,37.4,24.0,1297.0,297.0,441.0,282.0,3.1439,<1H OCEAN,47500.0
4149,-118.2,34.12,41.0,1908.0,503.0,1557.0,453.0,2.9194,<1H OCEAN,162000.0
6803,-118.13,34.08,40.0,1931.0,449.0,1367.0,446.0,2.575,<1H OCEAN,228400.0
9830,-121.91,36.63,42.0,817.0,194.0,391.0,193.0,2.1776,<1H OCEAN,279200.0
4603,-118.32,34.07,52.0,2156.0,306.0,861.0,311.0,8.8062,<1H OCEAN,500001.0
4064,-118.46,34.16,16.0,4590.0,1200.0,2195.0,1139.0,3.8273,<1H OCEAN,334900.0
5067,-118.3,33.99,43.0,1534.0,384.0,1231.0,329.0,2.5437,<1H OCEAN,94500.0
15050,-116.85,32.83,17.0,4234.0,770.0,2191.0,725.0,3.6445,<1H OCEAN,197600.0
16340,-121.33,38.04,15.0,1933.0,280.0,965.0,260.0,4.6477,INLAND,142700.0
1995,-119.77,36.72,43.0,1763.0,389.0,1623.0,390.0,1.4427,INLAND,47700.0
8457,-118.35,33.91,34.0,2055.0,448.0,1134.0,408.0,3.825,<1H OCEAN,235400.0
12880,-121.39,38.64,33.0,1503.0,282.0,652.0,229.0,3.6937,INLAND,99300.0
11869,-121.14,40.29,17.0,1944.0,394.0,384.0,172.0,1.6875,INLAND,111500.0
5389,-118.4,34.03,13.0,6152.0,1978.0,3397.0,1845.0,3.4058,<1H OCEAN,275000.0
19674,-120.83,37.51,13.0,3795.0,604.0,1639.0,609.0,4.6635,INLAND,198400.0
13612,-117.25,34.13,33.0,2898.0,503.0,1374.0,487.0,3.6856,INLAND,90000.0
3524,-118.52,34.28,33.0,1975.0,271.0,801.0,287.0,7.8193,<1H OCEAN,379600.0
3487,-118.54,34.3,22.0,4423.0,622.0,1995.0,582.0,8.2159,<1H OCEAN,376200.0
12076,-117.6,33.87,15.0,7626.0,1570.0,3823.0,1415.0,3.4419,INLAND,138100.0
5874,-118.34,34.18,45.0,1328.0,290.0,720.0,289.0,3.875,<1H OCEAN,226900.0
4075,-118.43,34.13,37.0,4400.0,695.0,1521.0,666.0,8.2954,<1H OCEAN,500001.0
14887,-117.08,32.62,28.0,2468.0,506.0,1353.0,522.0,3.0771,NEAR OCEAN,158600.0
6665,-118.09,34.17,36.0,2875.0,552.0,1131.0,458.0,4.3083,INLAND,269300.0
20406,-118.87,34.2,26.0,1924.0,245.0,775.0,244.0,7.001,<1H OCEAN,286800.0
3913,-118.55,34.2,31.0,1963.0,420.0,1494.0,415.0,3.5313,<1H OCEAN,211800.0
18304,-122.12,37.41,33.0,2892.0,617.0,1250.0,581.0,5.3727,NEAR BAY,360900.0
15886,-122.38,37.73,18.0,4037.0,990.0,2722.0,834.0,1.4282,NEAR BAY,140400.0
19970,-119.1,36.21,38.0,727.0,173.0,559.0,176.0,2.4653,INLAND,49500.0
9184,-118.55,34.38,24.0,6246.0,1028.0,2803.0,999.0,6.3002,<1H OCEAN,282900.0
14871,-117.11,32.62,27.0,1846.0,509.0,1078.0,482.0,2.1719,NEAR OCEAN,131500.0
7595,-118.25,33.9,38.0,1201.0,223.0,733.0,206.0,3.3804,<1H OCEAN,105800.0
11269,-118.0,33.79,18.0,3679.0,694.0,1820.0,652.0,3.6531,<1H OCEAN,143500.0
19976,-118.37,36.19,10.0,443.0,111.0,48.0,21.0,3.125,INLAND,71300.0
4725,-118.37,34.05,52.0,2346.0,437.0,1121.0,400.0,4.0583,<1H OCEAN,444300.0
3827,-118.46,34.2,22.0,4855.0,1350.0,2519.0,1258.0,3.0893,<1H OCEAN,205600.0
17704,-121.82,37.31,15.0,1504.0,294.0,1267.0,291.0,5.5145,<1H OCEAN,219400.0
4001,-118.65,34.18,26.0,4607.0,656.0,1769.0,643.0,7.4918,<1H OCEAN,367600.0
10693,-117.73,33.61,16.0,590.0,130.0,178.0,121.0,4.8611,<1H OCEAN,186800.0
1958,-120.81,38.73,42.0,1276.0,260.0,799.0,259.0,2.7273,INLAND,128600.0
13987,-117.13,34.88,21.0,3254.0,669.0,1548.0,545.0,2.3373,INLAND,57100.0
9660,-121.18,41.31,22.0,2124.0,432.0,829.0,313.0,2.4519,INLAND,57500.0
6847,-118.14,34.07,42.0,1036.0,199.0,656.0,215.0,4.1902,<1H OCEAN,235000.0
6203,-117.9,34.08,32.0,5482.0,1251.0,3426.0,1117.0,3.2943,<1H OCEAN,204400.0
2838,-119.0,35.39,51.0,1373.0,284.0,648.0,300.0,2.8295,INLAND,72100.0
3894,-118.52,34.2,35.0,2891.0,594.0,1757.0,581.0,4.3571,<1H OCEAN,199800.0
11730,-120.91,38.98,13.0,7689.0,1415.0,3264.0,1198.0,3.653,INLAND,146800.0
1811,-122.32,37.92,28.0,4649.0,977.0,2606.0,953.0,3.2674,NEAR BAY,129100.0
17974,-121.96,37.31,26.0,4310.0,678.0,1819.0,686.0,7.0469,<1H OCEAN,365500.0
12350,-116.5,33.81,26.0,5032.0,1229.0,3086.0,1183.0,2.5399,INLAND,94800.0
4595,-118.28,34.05,31.0,1525.0,730.0,2510.0,652.0,1.6355,<1H OCEAN,162500.0
2377,-119.54,36.7,20.0,1815.0,375.0,1665.0,357.0,2.2448,INLAND,58900.0
12217,-116.99,33.46,13.0,1614.0,410.0,846.0,270.0,2.83,<1H OCEAN,43000.0
19623,-121.09,37.33,40.0,524.0,112.0,329.0,96.0,1.7188,INLAND,112500.0
16180,-121.28,37.95,49.0,1200.0,364.0,1448.0,318.0,1.1094,INLAND,52500.0
3908,-118.52,34.2,19.0,4315.0,1304.0,2490.0,1222.0,2.6437,<1H OCEAN,195000.0
4843,-118.29,34.03,27.0,1084.0,287.0,1085.0,279.0,2.135,<1H OCEAN,119600.0
18965,-122.03,38.26,25.0,4617.0,1046.0,2685.0,1011.0,2.9576,INLAND,108500.0
2500,-120.38,36.75,25.0,1689.0,495.0,1745.0,457.0,1.9056,INLAND,60000.0
10534,-117.69,33.51,4.0,1223.0,275.0,505.0,244.0,4.6607,<1H OCEAN,173000.0
20059,-119.27,35.87,12.0,972.0,269.0,1134.0,286.0,1.63,INLAND,49500.0
3465,-118.46,34.31,24.0,2920.0,601.0,1460.0,598.0,4.2708,<1H OCEAN,218200.0
15011,-117.04,32.77,26.0,4263.0,1037.0,2199.0,1010.0,2.734,<1H OCEAN,148900.0
17068,-122.24,37.55,3.0,6164.0,1175.0,2198.0,975.0,6.7413,NEAR BAY,435900.0
14654,-117.14,32.8,33.0,2670.0,435.0,1256.0,431.0,3.9417,NEAR OCEAN,179800.0
13260,-117.67,34.1,28.0,1263.0,248.0,601.0,219.0,3.875,INLAND,174000.0
15322,-117.35,33.2,32.0,1251.0,220.0,700.0,232.0,3.9875,NEAR OCEAN,142900.0
3480,-118.52,34.29,28.0,2272.0,320.0,868.0,312.0,7.7464,<1H OCEAN,474600.0
18259,-122.08,37.38,36.0,1199.0,198.0,485.0,199.0,5.0796,NEAR BAY,373400.0
6516,-118.01,34.07,22.0,6311.0,1572.0,6666.0,1456.0,2.9334,INLAND,182600.0
12469,-121.45,38.57,48.0,1962.0,356.0,704.0,362.0,3.5313,INLAND,147900.0
5726,-118.22,34.19,31.0,4704.0,920.0,1895.0,886.0,4.9297,<1H OCEAN,400000.0
11787,-121.24,38.79,15.0,2615.0,485.0,1063.0,428.0,3.7904,INLAND,173200.0
4218,-118.28,34.11,38.0,4453.0,1156.0,1830.0,1099.0,3.6181,<1H OCEAN,495600.0
1599,-122.12,37.88,35.0,2785.0,362.0,1001.0,363.0,8.0448,NEAR BAY,433300.0
9142,-117.89,34.49,12.0,3449.0,598.0,1502.0,540.0,3.7043,INLAND,150800.0
18787,-122.43,40.47,16.0,3552.0,704.0,1801.0,658.0,2.1496,INLAND,97700.0
11358,-117.92,33.74,13.0,4620.0,1265.0,3385.0,1109.0,3.1773,<1H OCEAN,186500.0
15656,-122.41,37.79,52.0,3610.0,1286.0,1504.0,1047.0,3.2059,NEAR BAY,500001.0
6259,-117.95,34.05,35.0,1309.0,276.0,1113.0,253.0,4.375,<1H OCEAN,156500.0
3243,-119.57,36.1,16.0,1461.0,400.0,1201.0,384.0,1.5727,INLAND,54800.0
15020,-117.03,32.79,31.0,2366.0,383.0,1077.0,387.0,4.2992,<1H OCEAN,174400.0
20039,-118.97,36.06,26.0,1289.0,262.0,1100.0,244.0,1.975,INLAND,51400.0
14375,-117.25,32.72,36.0,2632.0,450.0,2038.0,419.0,6.5319,NEAR OCEAN,345800.0
4069,-118.48,34.16,30.0,3507.0,536.0,1427.0,525.0,6.7082,<1H OCEAN,500001.0
7017,-118.09,33.98,39.0,936.0,194.0,691.0,211.0,3.6875,<1H OCEAN,169500.0
17571,-121.93,37.32,51.0,2711.0,728.0,1607.0,724.0,3.0,<1H OCEAN,184700.0
8813,-118.31,33.75,34.0,2338.0,393.0,1031.0,373.0,6.287000000000001,NEAR OCEAN,396400.0
8733,-118.31,33.83,50.0,696.0,311.0,382.0,234.0,2.775,<1H OCEAN,225000.0
12037,-117.49,33.93,26.0,2970.0,576.0,2156.0,558.0,3.9522,INLAND,124600.0
37,-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,NEAR BAY,103900.0
20526,-121.61,38.38,37.0,1365.0,276.0,952.0,268.0,4.037,INLAND,156900.0
16772,-122.48,37.69,42.0,2993.0,512.0,1594.0,546.0,4.4821,NEAR OCEAN,252400.0
5727,-118.22,34.19,36.0,2443.0,492.0,1115.0,493.0,3.9777,<1H OCEAN,409800.0
20074,-120.26,38.13,17.0,301.0,94.0,122.0,47.0,4.0583,INLAND,87500.0
17779,-121.83,37.38,15.0,4430.0,992.0,3278.0,1018.0,4.5533,<1H OCEAN,209900.0
17792,-121.82,37.36,33.0,1624.0,337.0,1412.0,323.0,4.0385,<1H OCEAN,167600.0
19585,-120.69,37.59,27.0,1170.0,227.0,660.0,222.0,2.3906,INLAND,81800.0
10570,-117.67,33.67,5.0,10534.0,2035.0,4656.0,1863.0,5.7797,<1H OCEAN,309200.0
11925,-117.4,33.95,43.0,633.0,166.0,292.0,135.0,1.1601,INLAND,121400.0
18536,-122.01,36.97,35.0,1605.0,392.0,743.0,382.0,2.5368,NEAR OCEAN,240000.0
15936,-122.42,37.73,48.0,1474.0,308.0,998.0,330.0,4.0781,NEAR BAY,250300.0
9002,-118.34,33.99,48.0,1172.0,205.0,497.0,190.0,3.825,<1H OCEAN,183000.0
11492,-117.99,33.69,16.0,1476.0,294.0,886.0,270.0,5.3259,<1H OCEAN,216400.0
13566,-117.28,34.16,26.0,2469.0,532.0,1068.0,501.0,1.9832,INLAND,122100.0
8035,-118.14,33.84,45.0,1908.0,361.0,890.0,342.0,4.575,<1H OCEAN,336000.0
10536,-117.71,33.49,5.0,1680.0,254.0,617.0,231.0,8.583,<1H OCEAN,397700.0
12274,-116.95,33.97,14.0,5320.0,974.0,1947.0,843.0,3.1393,INLAND,116300.0
16608,-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,<1H OCEAN,158200.0
19343,-122.86,38.62,35.0,2597.0,522.0,1231.0,499.0,2.7432,<1H OCEAN,174000.0
12770,-121.42,38.63,42.0,1385.0,273.0,740.0,274.0,2.6055,INLAND,78000.0
7735,-118.13,33.93,34.0,2122.0,517.0,1578.0,488.0,3.1496,<1H OCEAN,191900.0
6078,-117.86,34.09,29.0,3855.0,585.0,2205.0,609.0,5.5496,<1H OCEAN,218200.0
19946,-119.35,36.22,32.0,1290.0,304.0,852.0,309.0,1.4429,INLAND,54600.0
6680,-118.09,34.15,46.0,271.0,74.0,150.0,55.0,2.2321,INLAND,237500.0
3081,-118.31,35.74,18.0,2327.0,642.0,799.0,335.0,1.8419,INLAND,92300.0
19517,-121.01,37.64,36.0,1981.0,507.0,1998.0,468.0,1.9013,INLAND,69900.0
12685,-121.4,38.53,38.0,152.0,30.0,65.0,35.0,0.9274,INLAND,67500.0
2930,-119.0,35.36,39.0,896.0,217.0,805.0,197.0,1.25,INLAND,42500.0
1324,-121.9,38.03,51.0,2982.0,689.0,1831.0,608.0,2.0034,INLAND,87700.0
15824,-122.42,37.75,52.0,1974.0,525.0,935.0,465.0,2.7173,NEAR BAY,300000.0
19339,-122.79,38.54,5.0,3986.0,737.0,1887.0,687.0,3.7768,<1H OCEAN,213800.0
7254,-118.15,33.98,17.0,3361.0,925.0,3264.0,914.0,2.2813,<1H OCEAN,145600.0
17438,-120.45,34.64,34.0,2571.0,499.0,1105.0,451.0,3.7778,NEAR OCEAN,150000.0
4936,-118.27,34.0,43.0,1258.0,381.0,1276.0,358.0,1.8917,<1H OCEAN,106900.0
15530,-117.1,33.15,5.0,3159.0,685.0,1398.0,581.0,3.1467,<1H OCEAN,161100.0
8108,-118.19,33.8,38.0,2010.0,595.0,1535.0,525.0,1.9848,NEAR OCEAN,160400.0
17741,-121.74,37.3,12.0,1961.0,280.0,985.0,269.0,6.7159,<1H OCEAN,362700.0
10767,-117.9,33.63,28.0,2370.0,352.0,832.0,347.0,7.1148,<1H OCEAN,500001.0
19572,-120.94,37.58,19.0,1549.0,369.0,770.0,370.0,2.0493,INLAND,99500.0
8207,-118.16,33.79,26.0,3061.0,844.0,2135.0,769.0,2.875,NEAR OCEAN,164000.0
8850,-118.41,34.09,37.0,2716.0,302.0,809.0,291.0,15.0001,<1H OCEAN,500001.0
547,-122.27,37.77,52.0,1710.0,481.0,849.0,457.0,2.7115,NEAR BAY,220800.0
6828,-118.11,34.08,30.0,2350.0,472.0,945.0,467.0,3.3421,<1H OCEAN,201000.0
17708,-121.82,37.32,10.0,2506.0,623.0,2634.0,622.0,3.135,<1H OCEAN,231400.0
16357,-121.31,38.03,18.0,4893.0,1008.0,3036.0,997.0,2.5212,INLAND,110000.0
14198,-117.02,32.71,20.0,4050.0,745.0,2870.0,761.0,3.7366,NEAR OCEAN,121800.0
14138,-117.07,32.74,37.0,1042.0,205.0,589.0,208.0,2.6629,NEAR OCEAN,116900.0
2641,-124.09,40.55,24.0,2978.0,553.0,1370.0,480.0,2.7644,<1H OCEAN,97300.0
12539,-121.49,38.55,52.0,2515.0,460.0,836.0,442.0,3.3844,INLAND,151100.0
6441,-118.03,34.1,30.0,2773.0,634.0,1376.0,540.0,2.7857,INLAND,201700.0
2749,-115.56,32.76,15.0,1278.0,217.0,653.0,185.0,4.4821,INLAND,140300.0
235,-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,NEAR BAY,126000.0
10370,-117.66,33.65,13.0,8527.0,1364.0,4597.0,1393.0,6.2242,<1H OCEAN,237900.0
8087,-118.2,33.81,47.0,2347.0,437.0,1219.0,420.0,5.3096,NEAR OCEAN,209900.0
6378,-118.06,34.17,38.0,2726.0,398.0,1059.0,380.0,7.2419,INLAND,410400.0
14815,-117.18,32.7,44.0,2655.0,514.0,1102.0,489.0,3.6759,NEAR OCEAN,368800.0
8143,-118.11,33.83,36.0,1820.0,313.0,899.0,295.0,4.918,<1H OCEAN,225200.0
14237,-117.03,32.69,8.0,2460.0,397.0,1784.0,390.0,4.5662,NEAR OCEAN,175500.0
1585,-122.0,37.84,16.0,7681.0,946.0,2777.0,908.0,9.5271,<1H OCEAN,500001.0
18026,-121.92,37.25,34.0,2231.0,360.0,1035.0,365.0,4.7917,<1H OCEAN,243200.0
17815,-121.81,37.41,25.0,2496.0,351.0,1034.0,367.0,7.0544,<1H OCEAN,320700.0
6186,-117.9,34.1,31.0,3007.0,653.0,1766.0,616.0,3.7083,<1H OCEAN,166000.0
2952,-119.01,35.34,44.0,1730.0,343.0,782.0,278.0,3.0208,INLAND,63700.0
15129,-116.91,32.86,10.0,3699.0,838.0,2310.0,759.0,2.5365,<1H OCEAN,139500.0
11961,-117.42,33.89,4.0,80.0,10.0,55.0,13.0,7.7197,INLAND,193800.0
12330,-116.51,33.94,12.0,3369.0,780.0,1315.0,584.0,1.7388,INLAND,66000.0
14451,-117.25,32.81,39.0,1846.0,350.0,765.0,329.0,3.9187,NEAR OCEAN,311900.0
11355,-117.93,33.74,15.0,1206.0,282.0,677.0,270.0,3.9219,<1H OCEAN,142600.0
20564,-121.71,38.72,32.0,710.0,155.0,550.0,154.0,2.8882,INLAND,151400.0
3668,-118.39,34.23,18.0,3405.0,831.0,3001.0,795.0,3.0083,<1H OCEAN,181900.0
3373,-118.3,34.26,37.0,2824.0,633.0,1619.0,573.0,3.5568,<1H OCEAN,184500.0
14011,-117.17,32.76,45.0,3149.0,639.0,1160.0,661.0,2.7266,NEAR OCEAN,354200.0
11331,-117.94,33.75,30.0,5268.0,1093.0,4480.0,1050.0,4.015,<1H OCEAN,186700.0
14350,-117.21,32.74,45.0,3025.0,583.0,1980.0,550.0,2.2982,NEAR OCEAN,87500.0
15239,-117.25,33.01,16.0,3892.0,520.0,1454.0,524.0,7.7317,NEAR OCEAN,396000.0
7889,-118.05,33.87,18.0,4928.0,773.0,2952.0,754.0,5.8855,<1H OCEAN,313800.0
8729,-118.32,33.85,42.0,3146.0,770.0,1859.0,740.0,3.5073,<1H OCEAN,234800.0
11881,-117.41,33.97,24.0,950.0,183.0,383.0,182.0,3.0694,INLAND,125000.0
18159,-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,<1H OCEAN,411900.0
13562,-117.28,34.15,36.0,1734.0,280.0,604.0,259.0,3.8292,INLAND,122200.0
1902,-119.98,38.9,16.0,3109.0,572.0,885.0,334.0,3.5,INLAND,134700.0
10542,-117.71,33.47,17.0,2681.0,454.0,830.0,410.0,5.5507,<1H OCEAN,345700.0
7731,-118.14,33.92,31.0,3731.0,853.0,2313.0,801.0,3.2237,<1H OCEAN,218200.0
15621,-122.41,37.8,52.0,2583.0,672.0,1335.0,613.0,3.1477,NEAR BAY,500001.0
15026,-117.01,32.77,34.0,3330.0,723.0,1592.0,656.0,2.6678,<1H OCEAN,164200.0
13691,-117.24,34.13,24.0,1203.0,310.0,594.0,187.0,1.1522,INLAND,87500.0
5333,-118.45,34.04,19.0,3330.0,1010.0,1837.0,915.0,3.0173,<1H OCEAN,393800.0
16368,-121.31,38.01,22.0,2101.0,514.0,1304.0,511.0,2.8348,INLAND,101600.0
11559,-117.98,33.76,28.0,3215.0,652.0,2066.0,636.0,4.0194,<1H OCEAN,197400.0
1219,-120.91,38.11,9.0,3585.0,680.0,1800.0,598.0,3.636,INLAND,133100.0
496,-122.26,37.85,52.0,3618.0,768.0,1508.0,755.0,3.2619,NEAR BAY,309600.0
2087,-119.79,36.75,52.0,377.0,97.0,530.0,96.0,1.0,INLAND,45000.0
12135,-117.22,33.9,8.0,8302.0,1461.0,5155.0,1370.0,4.0467,INLAND,121500.0
7508,-118.27,33.91,37.0,3018.0,547.0,1720.0,512.0,2.7269,<1H OCEAN,124100.0
16204,-121.29,37.95,52.0,288.0,86.0,272.0,54.0,0.696,INLAND,42500.0
1520,-122.08,37.92,26.0,1733.0,265.0,796.0,274.0,6.195,NEAR BAY,264900.0
6217,-117.92,34.07,36.0,1057.0,207.0,658.0,207.0,4.7708,<1H OCEAN,191700.0
6585,-118.21,34.22,39.0,3008.0,386.0,1240.0,370.0,9.2463,<1H OCEAN,500001.0
13778,-117.06,34.02,24.0,3912.0,809.0,1926.0,762.0,2.6875,INLAND,116300.0
6248,-117.97,34.05,34.0,2050.0,495.0,1832.0,465.0,2.8333,<1H OCEAN,155700.0
3240,-119.56,36.09,14.0,1267.0,290.0,1077.0,279.0,1.85,INLAND,52300.0
6860,-118.15,34.05,33.0,3287.0,649.0,1783.0,653.0,3.8472,<1H OCEAN,293300.0
10021,-121.25,39.17,9.0,999.0,189.0,411.0,176.0,2.125,INLAND,151800.0
19175,-122.65,38.37,15.0,1848.0,280.0,786.0,282.0,5.7204,<1H OCEAN,344100.0
10202,-117.92,33.87,44.0,308.0,87.0,301.0,100.0,2.1991,<1H OCEAN,191100.0
424,-122.26,37.88,52.0,2255.0,410.0,823.0,377.0,5.7979,NEAR BAY,415300.0
15392,-116.99,33.2,17.0,2980.0,539.0,1531.0,505.0,3.1553,<1H OCEAN,250000.0
14101,-117.1,32.76,31.0,987.0,267.0,619.0,250.0,2.9286,NEAR OCEAN,151800.0
3249,-119.99,36.09,23.0,333.0,92.0,198.0,55.0,0.4999,INLAND,100000.0
10156,-117.92,33.89,12.0,1859.0,393.0,622.0,316.0,5.0258,<1H OCEAN,161800.0
1290,-121.79,38.0,34.0,3090.0,593.0,1588.0,566.0,3.6118,INLAND,124700.0
1457,-121.97,37.97,26.0,1977.0,264.0,817.0,273.0,5.7512,INLAND,240200.0
16181,-121.28,37.95,46.0,1026.0,330.0,1109.0,333.0,1.2904,INLAND,63300.0
16091,-122.48,37.72,46.0,2403.0,638.0,1281.0,603.0,3.2321,NEAR OCEAN,112500.0
14576,-117.2,32.83,35.0,1377.0,350.0,792.0,313.0,2.8472,NEAR OCEAN,161400.0
17291,-119.63,34.4,29.0,3865.0,814.0,1266.0,613.0,6.0069,<1H OCEAN,500001.0
4123,-118.22,34.14,50.0,3657.0,708.0,1725.0,644.0,5.5456,<1H OCEAN,258100.0
17276,-119.69,34.41,44.0,1208.0,357.0,603.0,297.0,2.6103,<1H OCEAN,500000.0
2590,-124.09,40.88,31.0,1982.0,495.0,1052.0,467.0,1.5326,NEAR OCEAN,74100.0
17010,-122.28,37.53,15.0,5417.0,1199.0,2593.0,1098.0,4.8047,NEAR OCEAN,438000.0
19286,-122.78,38.41,43.0,1351.0,277.0,1011.0,297.0,2.5917,<1H OCEAN,144000.0
19213,-122.71,38.45,48.0,3118.0,561.0,1275.0,530.0,3.455,<1H OCEAN,222100.0
9235,-120.09,37.02,9.0,1608.0,297.0,1057.0,295.0,3.7143,INLAND,81600.0
1035,-120.88,38.45,25.0,1374.0,297.0,657.0,288.0,2.5476,INLAND,97900.0
1271,-121.66,37.93,19.0,2055.0,358.0,1064.0,350.0,4.7426,INLAND,263100.0
8847,-118.4,34.09,45.0,2686.0,283.0,857.0,259.0,15.0001,<1H OCEAN,500001.0
